timestamp,event_id,username,source_ip
Wed Feb 25 10:35:36 2026,4672,SYSTEM,N/A
Wed Feb 25 10:35:36 2026,4624,SYSTEM,-
Wed Feb 25 10:35:30 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:35:30 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:34:30 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:34:30 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:34:05 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:34:05 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:34:05 2026,4624,WIN-2GV8ISLSBIJ$,192.168.40.10
Wed Feb 25 10:34:05 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:34:05 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:34:05 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:34:05 2026,4624,WIN-2GV8ISLSBIJ$,fe80::30bb:ef74:e567:2d3
Wed Feb 25 10:34:05 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:34:05 2026,4624,WIN-2GV8ISLSBIJ$,fe80::30bb:ef74:e567:2d3
Wed Feb 25 10:34:05 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:34:05 2026,4624,WIN-2GV8ISLSBIJ$,fe80::30bb:ef74:e567:2d3
Wed Feb 25 10:34:05 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:34:01 2026,4624,WIN-2GV8ISLSBIJ$,fe80::30bb:ef74:e567:2d3
Wed Feb 25 10:34:01 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:34:01 2026,4624,WIN-2GV8ISLSBIJ$,fe80::30bb:ef74:e567:2d3
Wed Feb 25 10:34:01 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:33:53 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:33:53 2026,4672,Administrator,N/A
Wed Feb 25 10:33:53 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:33:53 2026,4672,Administrator,N/A
Wed Feb 25 10:33:30 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:33:30 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:32:30 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:32:30 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:32:02 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:32:02 2026,4672,Administrator,N/A
Wed Feb 25 10:32:02 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:32:02 2026,4672,Administrator,N/A
Wed Feb 25 10:31:33 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:31:30 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:31:30 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:30:31 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:30:31 2026,4672,Administrator,N/A
Wed Feb 25 10:30:31 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:30:31 2026,4672,Administrator,N/A
Wed Feb 25 10:30:31 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:30:31 2026,4672,Administrator,N/A
Wed Feb 25 10:30:30 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:30:30 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:30:28 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:30:26 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:30:26 2026,4672,Administrator,N/A
Wed Feb 25 10:30:26 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:30:26 2026,4672,Administrator,N/A
Wed Feb 25 10:30:26 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:30:26 2026,4672,Administrator,N/A
Wed Feb 25 10:29:36 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:29:36 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:29:36 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:29:30 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:29:30 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:29:05 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:29:05 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:29:05 2026,4624,WIN-2GV8ISLSBIJ$,192.168.40.10
Wed Feb 25 10:29:05 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:29:05 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:29:05 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:29:05 2026,4624,WIN-2GV8ISLSBIJ$,fe80::30bb:ef74:e567:2d3
Wed Feb 25 10:29:05 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:29:05 2026,4624,WIN-2GV8ISLSBIJ$,fe80::30bb:ef74:e567:2d3
Wed Feb 25 10:29:05 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:29:00 2026,4624,WIN-2GV8ISLSBIJ$,fe80::30bb:ef74:e567:2d3
Wed Feb 25 10:29:00 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:29:00 2026,4624,WIN-2GV8ISLSBIJ$,fe80::30bb:ef74:e567:2d3
Wed Feb 25 10:29:00 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:29:00 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:29:00 2026,4672,Administrator,N/A
Wed Feb 25 10:29:00 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:59 2026,4624,WIN-2GV8ISLSBIJ$,fe80::30bb:ef74:e567:2d3
Wed Feb 25 10:28:59 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:28:51 2026,4672,SYSTEM,N/A
Wed Feb 25 10:28:51 2026,4624,SYSTEM,-
Wed Feb 25 10:28:41 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:35 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:28:35 2026,4672,Administrator,N/A
Wed Feb 25 10:28:35 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:35 2026,4624,Administrator,192.168.40.21
Wed Feb 25 10:28:35 2026,4672,Administrator,N/A
Wed Feb 25 10:28:30 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:28:30 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:28:27 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:27 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:27 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:27 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:27 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:27 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:25 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:23 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:23 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:22 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:14 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:14 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:14 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:14 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:14 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:14 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:28:14 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:27:30 2026,4624,WIN-2GV8ISLSBIJ$,::1
Wed Feb 25 10:27:30 2026,4672,WIN-2GV8ISLSBIJ$,N/A
Wed Feb 25 10:27:12 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:27:12 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:26:56 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:26:55 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:26:49 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:26:49 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:26:49 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:26:46 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:26:46 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:26:46 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:26:46 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:26:46 2026,4624,DESKTOP$,192.168.40.21
Wed Feb 25 10:26:46 2026,4624,DESKTOP$,192.168.40.21
